Age_Cat,Gender_1male,Degree_Cat,Farm_size_Cat,Income_Cat,Legislative_requirements,Computer_at_home,Speed_internet_Cat,Already_used_DSS,Willing_to_try_new_products_Cat,Price_important_factor,Importance_of_easy_to_use_1to3,Importance_of_efficient_1to3,Importance_low_price_1to3,Importance_polyvalence_1to3,Enjoy_using_new_techs_1to3,Appreciate_change_1to3,Trust_in_DSS_1to3,Need_IT_teaching_Cat,DSS_can_improve_your_productivity_Cat,WTP_for_DSS_Cat,DSS_must_be_tailored_for_your_farm_Cat,Manufacturer_demo_of_DSS_Cat,clusters
2,1,2,5,2,1,1,2,0,1,1,3,3,2,3,1,1,2,2,3,2,2,2,0
2,1,2,4,5,1,1,2,0,1,1,3,2,1,2,2,2,1,2,3,3,2,1,0
2,1,2,5,5,1,1,2,1,1,1,3,3,1,2,2,1,1,2,3,3,2,2,1
1,1,2,2,1,0,1,3,1,2,1,3,3,3,3,2,2,1,1,2,2,3,2,0
1,1,2,3,1,0,1,2,1,2,1,2,2,2,2,3,2,2,2,3,2,1,1,0
2,1,4,5,2,0,1,3,1,2,1,3,3,2,1,3,2,1,2,4,2,2,2,1
3,1,2,4,3,1,1,3,0,2,1,3,3,3,3,2,1,1,2,2,2,2,2,0
4,1,2,4,1,1,1,3,0,2,1,1,1,1,2,3,3,1,1,2,1,2,1,0
4,1,1,4,5,1,1,1,0,2,1,2,3,1,2,1,2,1,2,3,1,3,1,0
2,1,4,5,4,1,1,2,0,2,1,3,2,2,2,1,2,1,2,2,1,1,1,0
2,1,3,4,1,0,1,3,1,2,1,3,3,2,3,2,1,1,2,3,2,1,1,0
2,1,2,4,3,1,1,3,0,2,1,1,2,2,3,3,2,1,1,2,2,3,1,0
2,1,2,4,5,1,1,3,1,1,1,3,3,3,3,2,2,1,2,3,1,3,2,1
3,1,2,5,5,1,1,1,1,2,1,3,2,3,3,3,1,1,1,2,1,2,1,0
2,0,2,3,3,1,1,1,0,2,1,3,2,3,1,2,2,2,2,3,2,2,1,0
1,0,2,4,2,1,1,2,0,2,1,3,2,3,2,3,2,2,2,3,2,2,1,0
2,1,2,4,2,1,1,3,1,1,1,3,3,1,3,3,2,2,2,4,3,2,1,1
5,1,2,4,2,1,1,2,1,1,1,3,2,1,2,2,3,2,2,4,3,2,2,1
3,1,1,5,1,1,1,3,0,1,1,3,3,2,3,3,3,2,2,3,2,2,1,1
5,1,2,5,5,1,1,3,1,1,0,2,3,1,2,1,2,2,2,3,3,3,2,1
2,1,3,3,1,1,1,3,1,1,1,3,2,2,2,2,2,1,2,3,2,2,2,1
4,1,2,5,1,1,1,3,0,1,1,3,2,3,2,3,3,3,2,4,1,2,2,1
2,1,2,5,4,1,1,2,1,2,1,3,2,2,2,2,2,2,2,3,3,2,2,1
2,1,2,4,2,0,1,3,1,1,1,3,3,3,3,2,2,2,2,3,2,2,2,1
3,1,2,4,3,0,1,3,0,1,1,3,3,2,2,3,2,2,2,4,2,3,1,1
3,1,2,5,3,1,1,2,1,1,1,3,3,2,3,2,2,2,2,4,3,3,2,1
3,1,2,5,5,1,1,3,1,1,1,3,3,3,3,3,2,2,2,4,3,2,2,1
2,0,4,2,1,0,1,1,0,1,1,3,1,2,3,1,3,2,2,4,3,2,1,0
4,1,3,3,3,1,1,2,1,1,1,3,3,1,2,3,3,2,2,3,2,3,2,1
4,1,3,3,3,1,1,2,1,1,1,3,3,3,3,2,2,1,2,3,3,3,2,1
4,0,4,3,2,1,1,2,1,1,1,3,3,1,3,2,1,2,2,3,2,3,2,1
3,1,4,3,1,1,1,3,1,1,1,3,3,3,2,2,1,2,1,3,2,2,2,1
1,1,2,1,1,0,1,2,1,1,1,2,3,2,2,2,2,2,2,3,2,2,2,0
3,1,2,3,3,0,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,0
1,1,1,5,4,0,1,3,1,1,0,1,2,1,2,2,1,2,2,4,3,2,2,1
2,1,3,5,2,1,1,2,1,1,1,1,2,2,3,2,2,1,2,4,2,2,1,1
